序号,标记时间戳,原序号,日期,时间,扭矩,钻压,转速,温度,倾角,方位角,重力和,磁强,磁倾,电压,深度
1,2025-04-10 17:52:51,674,2025-04-10,17:52:51,14.00,-19.00,108.00,14.00,57.720,155.780,0.660,41.22,-5.100,12.00,0.00
2,2025-04-10 17:58:26,841,2025-04-10,17:58:26,560.00,13540.00,106.00,14.00,49.550,147.730,0.735,48.91,6.140,12.00,1.50
3,2025-04-10 18:05:00,1037,2025-04-10,18:05:00,481.00,12421.00,146.00,14.00,81.160,141.330,0.558,48.85,35.600,12.00,3.00
4,2025-04-10 18:09:42,1177,2025-04-10,18:09:42,427.00,11193.00,155.00,15.00,56.130,239.900,0.653,50.00,29.900,12.00,4.50
5,2025-04-10 18:23:18,1583,2025-04-10,18:23:18,369.00,10735.00,152.00,15.00,57.500,287.680,0.626,50.68,59.260,12.00,6.00
6,2025-04-10 18:29:56,1781,2025-04-10,18:29:56,337.00,10635.00,152.00,15.00,82.970,232.900,0.520,49.63,36.320,11.90,7.50
7,2025-04-10 18:36:03,1964,2025-04-10,18:36:03,463.00,12632.00,151.00,15.00,58.000,223.880,0.600,48.73,19.570,11.90,9.00
8,2025-04-10 18:51:45,2433,2025-04-10,18:51:45,269.00,16738.00,118.00,14.00,55.680,276.630,0.597,49.23,54.610,11.90,10.50
9,2025-04-10 18:59:03,2651,2025-04-10,18:59:03,298.00,12060.00,150.00,15.00,58.800,270.690,0.588,48.91,48.880,11.90,12.00
10,2025-04-10 19:05:37,2847,2025-04-10,19:05:37,445.00,11201.00,142.00,15.00,52.360,75.680,0.619,48.84,61.020,11.90,13.50
11,2025-04-10 19:11:34,3025,2025-04-10,19:11:34,438.00,11507.00,149.00,15.00,57.650,224.820,0.560,48.20,16.350,11.90,15.00
12,2025-04-10 19:17:40,3207,2025-04-10,19:17:40,423.00,10275.00,144.00,15.00,60.590,282.150,0.529,48.51,48.180,11.90,16.50
13,2025-04-10 19:23:05,3369,2025-04-10,19:23:05,369.00,11516.00,144.00,15.00,50.820,105.510,0.578,48.39,32.730,11.90,18.00
14,2025-04-10 19:29:27,3559,2025-04-10,19:29:27,337.00,11776.00,153.00,15.00,59.020,260.220,0.507,46.89,34.480,11.90,19.50
15,2025-04-10 19:36:16,3763,2025-04-10,19:36:16,438.00,10148.00,144.00,15.00,67.320,118.430,0.459,47.50,23.260,11.80,21.00
16,2025-04-10 19:43:02,3965,2025-04-10,19:43:02,380.00,10502.00,144.00,15.00,48.680,100.500,0.549,48.54,33.070,11.80,22.50
17,2025-04-10 19:52:50,4258,2025-04-10,19:52:50,301.00,10915.00,138.00,15.00,51.200,257.840,0.529,48.56,30.870,11.80,24.00
18,2025-04-10 20:03:27,4575,2025-04-10,20:03:27,319.00,11017.00,143.00,15.00,59.580,312.100,0.466,47.92,54.900,11.80,25.50
19,2025-04-10 20:11:01,4801,2025-04-10,20:11:01,287.00,9996.00,146.00,15.00,48.260,242.050,0.529,46.47,16.800,11.80,27.00
20,2025-04-10 20:17:48,5004,2025-04-10,20:17:48,316.00,9506.00,156.00,15.00,67.220,187.420,0.410,46.90,6.730,11.80,28.50
21,2025-04-10 20:24:30,5204,2025-04-10,20:24:30,373.00,11168.00,143.00,15.00,43.010,88.610,0.542,47.71,44.490,11.80,30.00
22,2025-04-10 20:31:44,5420,2025-04-10,20:31:44,366.00,8786.00,145.00,15.00,44.380,10.410,0.511,47.15,72.600,11.80,31.50
23,2025-04-10 20:38:11,5613,2025-04-10,20:38:11,391.00,12129.00,168.00,16.00,66.910,263.370,0.374,45.83,26.940,11.80,33.00
24,2025-04-10 20:45:31,5832,2025-04-10,20:45:31,330.00,11300.00,156.00,15.00,65.040,0.170,0.360,47.69,49.700,11.80,34.50
25,2025-04-10 20:54:05,6088,2025-04-10,20:54:05,272.00,10483.00,151.00,15.00,43.550,293.670,0.450,47.80,54.670,11.80,36.00
26,2025-04-10 21:00:27,6278,2025-04-10,21:00:27,7.00,-72.00,155.00,16.00,47.590,213.280,0.378,45.32,-12.060,11.80,37.50
27,2025-04-12 19:53:48,24853,2025-04-12,19:53:48,154.00,9774.00,134.00,13.00,76.550,12.250,0.303,44.57,36.950,11.00,39.00
28,2025-04-12 20:04:16,25166,2025-04-12,20:04:16,201.00,7042.00,154.00,15.00,50.710,300.550,0.367,41.75,52.220,11.00,40.50
29,2025-04-12 20:12:39,25417,2025-04-12,20:12:39,308.00,8890.00,139.00,15.00,40.650,42.940,0.412,44.70,66.100,11.00,42.00
30,2025-04-12 20:19:55,25634,2025-04-12,20:19:55,333.00,9905.00,161.00,15.00,41.680,279.690,0.404,45.56,42.450,11.00,43.50
31,2025-04-12 20:25:25,25799,2025-04-12,20:25:25,247.00,9827.00,155.00,15.00,68.630,221.600,0.280,44.26,5.170,11.00,45.00
32,2025-04-12 20:32:29,26010,2025-04-12,20:32:29,344.00,9782.00,152.00,15.00,45.170,274.410,0.348,45.30,32.030,11.00,46.50
33,2025-04-12 20:40:04,26237,2025-04-12,20:40:04,179.00,7288.00,160.00,15.00,45.280,109.420,0.338,43.59,7.940,11.00,48.00
34,2025-04-12 20:47:32,26460,2025-04-12,20:47:32,380.00,8439.00,173.00,15.00,36.030,100.200,0.389,45.68,15.890,11.00,49.50
35,2025-04-12 20:55:21,26694,2025-04-12,20:55:21,316.00,9459.00,149.00,15.00,41.920,52.230,0.328,44.09,55.380,11.00,51.00
36,2025-04-12 21:03:04,26925,2025-04-12,21:03:04,359.00,9342.00,126.00,15.00,74.500,92.810,0.218,45.94,15.010,11.00,52.50
37,2025-04-12 21:14:46,27275,2025-04-12,21:14:46,319.00,8595.00,130.00,15.00,51.460,116.400,0.250,44.07,-1.390,11.00,54.00
38,2025-04-12 21:23:04,27523,2025-04-12,21:23:04,190.00,8650.00,165.00,15.00,79.850,-318.500,0.185,41.03,24.440,11.00,55.50
39,2025-04-12 21:28:49,27695,2025-04-12,21:28:49,14.00,1716.00,149.00,16.00,36.240,100.690,0.298,44.42,7.980,11.00,57.00
